airport_name,far_description,investigation_type,report_status,longitude,total_minor_injuries,number_of_engines,registration_number,total_serious_injuries,publication_date,airport_code,air_carrier,location,aircraft_category,schedule,accident_number,latitude
,,Accident,Probable Cause,,0.0,1.0,NC6404,0.0,,,,"MOOSE CREEK, ID",,,SEA87LA080,
,,Accident,Probable Cause,,0.0,1.0,N5069P,0.0,19-09-1996,,,"BRIDGEPORT, CA",,,LAX94LA336,
,,Accident,Probable Cause,-81.878056,,1.0,N5142R,,26-02-2007,,,"Saltville, VA",,,NYC07LA005,36.922222999999995
,,Accident,Probable Cause,,0.0,1.0,N1168J,0.0,12-09-2000,,,"EUREKA, CA",,,LAX96LA321,
,,Accident,Probable Cause,,,,N15NY,2.0,16-04-1980,,,"Canton, OH",,,CHI79FA064,
,Part 129: Foreign,Accident,Probable Cause,-70.758333,1.0,2.0,CF-TLU,,19-09-2017,,Air Canada,"BOSTON, MA",Airplane,SCHD,NYC79AA106,42.445277000000004
,,Accident,Probable Cause,,0.0,1.0,N4988E,0.0,06-11-2001,,,"COTTON, MN",,,CHI81LA106,
BLACKBURN AG STRIP,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N2482N,0.0,01-01-1982,,,"PULLMAN, WA",Airplane,,SEA82DA022,
HANOVER,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N7967Q,0.0,01-01-1982,N58,,"EAST HANOVER, NJ",Airplane,,NYC82DA015,
JACKSONVILLE INTL,,Accident,Probable Cause,,3.0,1.0,N3906K,0.0,01-01-1982,JAX,,"JACKSONVILLE, FL",,,MIA82DA029,
,,Accident,Probable Cause,,0.0,1.0,N44832,0.0,01-01-1982,,,"HOBBS, NM",,,FTW82DA034,
TUSKEGEE,,Accident,Probable Cause,,0.0,1.0,N4275S,0.0,01-01-1982,,,"TUSKEGEE, AL",,,ATL82DKJ10,
,Part 91: General Aviation,Accident,Probable Cause,,1.0,1.0,N14779,0.0,02-01-1983,,,"HOMER, LA",Airplane,,FTW82FRJ07,
HEARNE MUNICIPAL,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N758SK,0.0,02-01-1983,T72,,"HEARNE, TX",Airplane,,FTW82FRA14,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N4876K,0.0,02-01-1983,,,"CHICKASHA, OK",Airplane,,FTW82FPJ10,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N9779L,0.0,02-01-1983,,,"LITTLE ROCK, AR",Airplane,,FTW82FPG08,
FIELD RANCH,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N51735,0.0,02-01-1983,,,"MIDWAY, UT",Helicopter,,DEN82DTM08,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N7641A,0.0,02-01-1983,,,"SKWENTA, AK",Airplane,,ANC82FAG14,
CHERRY SPRINGS,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N25084,0.0,02-01-1983,5G6,,"GALETON, PA",Airplane,,NYC82DA016,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N23BS,0.0,02-01-1983,,,"MIAMI, FL",Helicopter,,MIA82DA028,
WILLOW RUN,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N68812,0.0,02-01-1983,YIP,,"YPSILANTI, MI",Airplane,,CHI82FEC08,
TINKERBELL,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N1549Q,0.0,02-01-1983,49G,,"CHARLOTTE, MI",Airplane,,CHI82DA020,
,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,0.0,1.0,N5745Y,0.0,02-01-1983,PDK,"Rocky Mountain Helicopters, In","CHAMBLEE, GA",Helicopter,NSCH,ATL82DA027,
VAN NUYS,Part 91: General Aviation,Incident,Probable Cause,,0.0,1.0,N5018P,0.0,03-01-1983,VNY,,"VAN NUYS, CA",Airplane,,LAX82IA034,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N28912,1.0,03-01-1983,,,"10 NM W LEE VIN, CA",Airplane,,LAX82FA040,
HANOVER COUNTY,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N2620L,0.0,03-01-1983,,,"ASHLAND, VA",Airplane,,DCA82AA008,
MOORE COUNTY,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N10VS,0.0,03-01-1983,SOP,,"PINEHURST, NC",Airplane,,ATL82FA033,
WESTCHESTER COUNTY,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N7125D,0.0,03-01-1983,HPN,,"WHITE PLAINS, NY",Airplane,,NYC82DA018,
,Part 91: General Aviation,Accident,Probable Cause,,1.0,1.0,N94252,0.0,03-01-1983,,,"COCOA, FL",Airplane,,MIA82DA030,
,Part 91: General Aviation,Accident,Probable Cause,,2.0,1.0,N8630V,0.0,03-01-1983,,,"SAN CLEMENTINE, CA",Airplane,,LAX82DA035,
OAK GROVE,Part 91: General Aviation,Accident,Probable Cause,,2.0,1.0,N71054,0.0,03-01-1983,,,"FORT WORTH, TX",Airplane,,FTW82DA036,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N23069,0.0,03-01-1983,,,"GREENOUGH, MT",Airplane,,DEN82DTI09,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N8265A,0.0,04-01-1983,,,"PLEASANT HILL, OR",Airplane,,SEA82FA015,
,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,0.0,2.0,N1956H,0.0,04-01-1983,,Lang Air Service,"NEAR LAS VEGAS, NV",Airplane,NSCH,LAX82FA038,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N2CU,2.0,04-01-1983,,,"FORT WAYNE, IN",Airplane,,CHI82FA019,
ESTANCIA MUNICIPAL,Part 91: General Aviation,Accident,Probable Cause,,2.0,1.0,N32335,0.0,04-01-1983,E92,,"ESTANCIA, NM",Airplane,,FTW82DA035,
ALEXANDER HAMILTON,Part 91: General Aviation,Accident,Probable Cause,,1.0,1.0,N5151U,0.0,04-01-1983,STX,,SAINT CROIX,Airplane,,MIA82FKA05,
RAMONA,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N4520K,0.0,05-01-1983,L39,,"RAMONA, CA",Airplane,,LAX82FUM06,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N4696Z,0.0,05-01-1983,,,"BLACK CANYON CI, AZ",Airplane,,LAX82FA036,
TOMPKINS COUNTY,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,0.0,2.0,N546BA,0.0,05-01-1983,,Empire Airlines,"ITHACA, NY",Airplane,SCHD,DCA82AA009,
,Part 91: General Aviation,Incident,Probable Cause,,0.0,1.0,N5782N,0.0,05-01-1983,,,"PENSACOLA, FL",Airplane,,ATL82IA029,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N5304P,1.0,05-01-1983,,,"LONOKE, AR",Airplane,,FTW82DA037,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N2139T,0.0,05-01-1983,0A6,,"GASTONIA, NC",Airplane,,ATL82DA028,
SPRINGERVILLE,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,0.0,1.0,N738XP,0.0,05-01-1983,Q35,Joel Frederick's Monarch Air,"SPRINGERVILLE, AZ",Airplane,NSCH,LAX82DA037,
BETHEL,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,0.0,1.0,N3343S,2.0,05-01-1983,BET,Executive Charter Service,"BETHEL, AK",Airplane,NSCH,ANC82FA012,
DOWNTOWN,Part 91: General Aviation,Accident,Probable Cause,,0.0,2.0,N2672A,0.0,06-01-1983,K07,,"ROLLA, MO",Airplane,,MKC82DA016,
MAMMOTH LAKES,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N608RA,0.0,06-01-1983,MMH,,"MAMMOTH LAKES, CA",Helicopter,,LAX82DA039,
JACKSON HOLE,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N8070Q,0.0,06-01-1983,,,"JACKSON, WY",Airplane,,DEN82DA015,
PAXTON MUNICIPAL,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N4900L,0.0,06-01-1983,1C1,,"PAXTON, IL",Airplane,,CHI82DA021,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N201NH,0.0,06-01-1983,,,"HILTON HEAD, SC",Airplane,,ATL82FLG08,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N59737,1.0,06-01-1983,,,"NEAR BAKERSFIEL, CA",Airplane,,LAX82DVA10,
,Part 135: Air Taxi & Commuter,Accident,Probable Cause,,0.0,1.0,N9763X,0.0,07-01-1983,,Robert R. Hylton,"HELENA, MT",Airplane,NSCH,DEN82FA016,
CLEARVIEW,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N117P,0.0,07-01-1983,2W2,,"WESTMINISTER, MD",Airplane,,ATL82DA031,
LAREDO INTL,"Part 125: 20+ Pax,6000+ lbs",Accident,Probable Cause,,0.0,2.0,N1698M,0.0,07-01-1983,LRD,,"LAREDO, TX",Airplane,NSCH,FTW82FRG20,
W. PASCO,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N80264,0.0,08-01-1983,X41,,"ODESSA, FL",Airplane,,MIA82FLD14,
HARRY CLEVER FIELD,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N207CB,1.0,08-01-1983,PHO,,"NEW PHILADELPHI, OH",Airplane,,CHI82FA024,
PULLMAN-MOSCOW REGIONAL,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N6106U,0.0,08-01-1983,PUW,,"PULLMAN, WA",Airplane,,SEA82DA016,
,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N46681,0.0,08-01-1983,,,"CUTCHOGUE, NY",Airplane,,NYC82DA019,
MITHELL,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N7618P,0.0,08-01-1983,,,"LIBERTY, MO",Airplane,,MKC82DA026,
MOUNT HAWLEY,Part 91: General Aviation,Accident,Probable Cause,,0.0,1.0,N6265P,0.0,08-01-1983,3MY,,"PEORIA, IL",Airplane,,CHI82DA023,
